IdUsuario,Nombre,Primer Apellido,Segundo Apellido,Correo Electronico,Estado Civil,Ocupacion,Telefono
0,Daniel,Cordova,Perez,Daniel.Cordova@hotmail.com,Soltero,Licenciado,728172170
1,Luis,Solis,Gracia,Luis.Solis@hotmail.com,Soltero,Licenciado,728172171
2,Guillermo,De Soto,Garcia,Guillermo.De Soto@hotmail.com,Soltero,Licenciado,728172172
3,Fidel,Torres,Garza,Fidel.Torres@hotmail.com,Soltero,Licenciado,728172173
4,David,Landa,Pelaes,David.Landa@hotmail.com,Soltero,Licenciado,728172174
5,Michelle,Soto,Virgolinni,Michelle.Soto@hotmail.com,Soltero,Licenciado,728172175
6,Hugo,Ramos,Palomino,Hugo.Ramos@hotmail.com,Soltero,Licenciado,728172176
7,Armando,Vazquez,Nava,Armando.Vazquez@hotmail.com,Soltero,Licenciado,728172177
8,Juan,Perez,Utrera,Juan.Perez@hotmail.com,Soltero,Licenciado,728172178
9,Erick,Chavez,Ponce,Erick.Chavez@hotmail.com,Casado,Licenciado,728172179
10,Andrea,Castillo,Schwarzenegger,Andrea.Castillo@hotmail.com,Soltero,Estudiante ,728172180
11,Gerardo,Esparza,Peregrino,Gerardo.Esparza@hotmail.com,Soltero,Estudiante ,728172181
12,Enrique,Enriquez,Gutierrez,Enrique.Enriquez@hotmail.com,Soltero,Estudiante ,728172182
13,Juan Luis,Flores,Peck,Juan Luis.Flores@hotmail.com,Soltero,Estudiante ,728172183
14,Nicolas,Palos,de La torre,Nicolas.Palos@hotmail.com,Soltero,Estudiante ,728172184
15,Fernando,Atocha,Hernandez,Fernando.Atocha@hotmail.com,Soltero,Estudiante ,728172185
16,Patricio,Olmo,Solis,Patricio.Olmo@hotmail.com,Soltero,Estudiante ,728172186
17,Antonio,Cordoba,Cordoba,Antonio.Cordoba@hotmail.com,Soltero,Estudiante ,728172187
18,Luperdo,Fajardo,Leon,Luperdo.Fajardo@hotmail.com,Soltero,Estudiante ,728172188
19,Javier,Ochoa,Nuñez,Javier.Ochoa@hotmail.com,Soltero,Estudiante ,728172189
20,Ivan,Gutierrez,Olmedo,Ivan.Gutierrez@hotmail.com,Soltero,Estudiante ,728172190
